"state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"  Maine ","Northeast",0.00488271418503977,0.00523507500251686,0.00568811033927313,0.00871624345022168,0.00889023589432742,0.0101571580170802,0.0108140886351003,0.0282480165748648,0.0304985632908202,0.0308514392297222,0.0240976054270237,0.0294132536829849,0.0112899959497772,0.0112785891555286
"  New Hampshire","Northeast",0.0105627705627706,0.0114364928088719,0.0116097730029458,0.015600624024961,0.0167791039612524,0.0261381339795742,0.0282153366799377,0.0605850787606024,0.0637595552466991,0.0715774843641418,0.0573170731707317,0.0655052264808362,0.0621951219512195,0.0624737285714286
"  Vermont","Northeast",0.00774671606601549,0.00842034355001684,0.00757830919501516,0.00875863230587839,0.00893007582139848,0.00708143651997977,0.00708143651997977,0.0118023941999663,0.0143218197135636,0.0156697556866049,0.0173986486486486,0.0202702702702703,0.0160472972972973,0.016262660472973
"  Massachusetts","Northeast",0.0901185770750988,0.0897715988083416,0.0951340615690169,0.1493545183714,0.155794933173748,0.179077660211619,0.19804352166101,0.246356558195249,0.267571884984026,0.224640575079872,0.283492822966507,0.302033492822966,0.360103626943005,0.366153895177361
"  Rhode Island","Northeast",0.14327917282127,0.134416543574594,0.150664697193501,0.186115214180207,0.193740685543964,0.225037257824143,0.229508196721311,0.253353204172876,0.256296296296296,0.281481481481481,0.301943198804185,0.319880418535127,0.373692077727952,0.380218420029895
"  Connecticut","Northeast",0.0829346092503987,0.0889952153110048,0.0807017543859649,0.129824561403509,0.145332050048123,0.165167095115681,0.176092544987147,0.229113110539846,0.249518922386145,0.246953175112251,0.274105127378265,0.293453724604966,0.365366010964205,0.371858650435343
"  New York","Northeast",0.0353382233088835,0.0372506843957763,0.034447920740451,0.0489879730126137,0.0523240631936284,0.0509930746112636,0.0550764406115249,0.0639945119560957,0.0716665017644537,0.0739091718610864,0.0755054097872481,0.0804354299705522,0.0838931727173445,0.0850834065261277
"  New Jersey","Northeast",0.15849605317823,0.164935604486913,0.161196510178646,0.206939538749221,0.228838174273859,0.239975067525452,0.254311240390609,0.274257220029088,0.287298598033061,0.295250052312199,0.344566133108677,0.360572872788543,0.377922898672846,0.382612842005477
"  Pennsylvania","Northeast",0.0316694994623469,0.0321898088730098,0.0335426133407333,0.0451310536365214,0.0458078845086063,0.0475015636944888,0.0508026965042741,0.0591076516783654,0.0641882483987747,0.0676691729323308,0.0703503573296148,0.0748126198361513,0.09570128647631,0.0975828590454276
"  Delaware","Northeast",0.0181674565560821,0.0181674565560821,0.0300157977883096,0.0489731437598736,0.055205047318612,0.0623028391167192,0.0686119873817035,0.083596214511041,0.095392077607114,0.108326596604689,0.116706634692246,0.123101518784972,0.155875299760192,0.159811514788169
